Date,005930.KS
2021-02-10,60178.04498697917
2021-02-15,60384.38365885417
2021-02-16,60600.3107421875
2021-02-17,60820.9265625
2021-02-18,61029.68701171875
2021-02-19,61240.73740234375
2021-02-22,61446.61969401042
2021-02-23,61651.00589192708
2021-02-24,61861.19423828125
2021-02-25,62097.52008463542
2021-02-26,62323.053059895836
2021-03-02,62555.364420572914
2021-03-03,62789.21764322917
2021-03-04,62996.59622395833
2021-03-05,63207.532552083336
2021-03-08,63411.19339192708
2021-03-09,63594.409830729164
2021-03-10,63776.061263020834
2021-03-11,63960.139973958336
2021-03-12,64151.653645833336
2021-03-15,64325.533040364586
2021-03-16,64502.54140625
2021-03-17,64675.80947265625
2021-03-18,64864.445084635416
2021-03-19,65047.0501953125
2021-03-22,65231.12890625
2021-03-23,65420.964192708336
2021-03-24,65601.91350911459
2021-03-25,65790.16123046874
2021-03-26,65979.92776692708
2021-03-29,66165.67001953124
2021-03-30,66358.63343098959
2021-03-31,66541.93681640625
2021-04-01,66734.322265625
2021-04-02,66934.41712239584
2021-04-05,67140.47978515625
2021-04-06,67345.94296875
2021-04-07,67544.75188802084
2021-04-08,67736.7978515625
2021-04-09,67927.14602864583
2021-04-12,68118.1373046875
2021-04-13,68311.491015625
2021-04-14,68498.2771484375
2021-04-15,68685.81484375
2021-04-16,68877.68753255208
2021-04-19,69064.32184244791
2021-04-20,69254.00540364583
2021-04-21,69438.29879557292
2021-04-22,69626.92721354167
2021-04-23,69825.12877604166
2021-04-26,70039.53623046874
2021-04-27,70243.59739583333
2021-04-28,70431.43095703125
2021-04-29,70618.448046875
2021-04-30,70790.82718098958
2021-05-03,70966.16861979167
2021-05-04,71147.54303385416
2021-05-06,71326.66328125
2021-05-07,71494.75068359375
2021-05-10,71674.79596354166
2021-05-11,71823.75885416666
2021-05-12,71941.08310546874
2021-05-13,72051.51419270833
2021-05-14,72180.53564453125
2021-05-17,72307.25963541666
2021-05-18,72433.25390625
2021-05-20,72538.06435546876
2021-05-21,72645.92366536458
2021-05-24,72758.80432942709
2021-05-25,72862.97177734374
2021-05-26,72964.92838541667
2021-05-27,73076.32799479166
2021-05-28,73183.45755208333
2021-05-31,73281.18743489584
2021-06-01,73378.20940755209
2021-06-02,73463.59889322917
2021-06-03,73553.80052083333
2021-06-04,73648.25055338541
2021-06-07,73724.39212239583
2021-06-08,73807.83092447916
2021-06-09,73881.60992838541
2021-06-10,73951.71881510416
2021-06-11,74021.82770182291
2021-06-14,74088.179296875
2021-06-15,74161.18522135417
2021-06-16,74243.14309895833
2021-06-17,74318.3380859375
2021-06-18,74395.63551432292
2021-06-21,74456.74889322916
2021-06-22,74490.15436197916
2021-06-23,74517.74361979167
2021-06-24,74542.13776041666
2021-06-25,74549.33880208334
2021-06-28,74543.83229166667
2021-06-29,74527.52506510417
2021-06-30,74521.6712890625
2021-07-01,74506.0521484375
2021-07-02,74445.5408203125
2021-07-05,74371.5904296875
2021-07-06,74306.67018229167
2021-07-07,74245.4638671875
2021-07-08,74177.46490885416
2021-07-09,74118.40950520833
2021-07-12,74084.06126302083
2021-07-13,74035.50592447916
2021-07-14,73983.19049479166
2021-07-15,73932.44420572916
2021-07-16,73885.38522135417
2021-07-19,73812.83782552084
2021-07-20,73760.48893229167
2021-07-21,73712.59544270833
2021-07-22,73687.9724609375
2021-07-23,73673.04811197917
2021-07-26,73646.86920572916
2021-07-27,73607.95279947917
2021-07-28,73572.82337239584
2021-07-29,73551.89446614584
2021-07-30,73519.71100260416
2021-08-02,73497.305859375
2021-08-03,73492.99485677083
2021-08-04,73508.23385416667
2021-08-05,73497.98450520834
2021-08-06,73477.97005208333
2021-08-09,73470.67317708333
2021-08-10,73461.79348958333
2021-08-11,73436.34283854166
2021-08-12,73402.56341145834
2021-08-13,73350.65657552083
2021-08-17,73297.240234375
2021-08-18,73216.87265625
2021-08-19,73151.41373697917
2021-08-20,73074.7068359375
2021-08-23,72999.53606770834
2021-08-24,72953.69381510417
2021-08-25,72910.85071614584
2021-08-26,72860.45345052083
2021-08-27,72812.28040364584
2021-08-30,72770.11243489584
2021-08-31,72735.56477864583
2021-09-01,72695.78736979167
2021-09-02,72657.4525390625
2021-09-03,72616.165625
2021-09-06,72583.9021484375
2021-09-07,72538.09329427083
2021-09-08,72501.27493489583
2021-09-09,72456.16087239583
2021-09-10,72412.54290364584
2021-09-13,72382.4572265625
2021-09-14,72353.13958333334
2021-09-15,72324.596875
2021-09-16,72288.51328125
2021-09-17,72253.5107421875
2021-09-23,72226.02903645833
2021-09-24,72186.52115885417
2021-09-27,72135.75540364583
2021-09-28,72069.91484375
2021-09-29,71985.619921875
2021-09-30,71904.33053385417
2021-10-01,71822.979296875
2021-10-05,71742.31002604167
2021-10-06,71657.8212890625
2021-10-07,71569.59641927083
2021-10-08,71480.61328125
2021-10-12,71371.92024739583
2021-10-13,71263.21341145833
2021-10-14,71163.56516927083
2021-10-15,71064.71656901042
2021-10-18,70976.394921875
2021-10-19,70892.60924479166
2021-10-20,70803.54313151042
2021-10-21,70708.4587890625
2021-10-22,70619.39944661458
2021-10-25,70534.83489583334
2021-10-26,70460.10100911459
2021-10-27,70379.2865234375
2021-10-28,70301.51930338542
2021-10-29,70210.1642578125
2021-11-01,70121.82177734375
2021-11-02,70048.61845703125
2021-11-03,69957.30475260416
2021-11-04,69882.5361328125
2021-11-05,69813.75126953125
2021-11-08,69759.27112630209
2021-11-09,69692.01002604167
2021-11-10,69626.23082682291
2021-11-11,69558.17662760416
2021-11-12,69496.18209635417
2021-11-15,69435.74580078125
2021-11-16,69377.55686848958
2021-11-17,69313.31510416667
2021-11-18,69246.03317057292
2021-11-19,69187.8373046875
2021-11-22,69153.94270833333
2021-11-23,69120.07584635417
2021-11-24,69081.66555989583
2021-11-25,69033.41100260416
2021-11-26,68959.51145833333
2021-11-29,68890.12037760417
2021-11-30,68815.40032552084
2021-12-01,68764.18854166666
2021-12-02,68729.6048828125
2021-12-03,68694.25572916666
2021-12-06,68664.21490885416
2021-12-07,68646.27311197917
2021-12-08,68625.32552083333
2021-12-09,68603.681640625
2021-12-10,68578.9423828125
2021-12-13,68556.4505859375
2021-12-14,68539.98385416667
2021-12-15,68527.31555989584
2021-12-16,68515.4125
2021-12-17,68496.76048177083
2021-12-20,68468.27805989583
2021-12-21,68445.12473958333
2021-12-22,68435.89739583334
2021-12-23,68432.72591145833
2021-12-24,68438.633203125
2021-12-27,68443.01998697917
2021-12-28,68445.1462890625
2021-12-29,68432.55833333333
2021-12-30,68419.18059895834
2022-01-04,68415.64251302084
2022-01-05,68405.97526041667
2022-01-06,68390.23522135416
2022-01-07,68384.4048828125
2022-01-10,68378.55325520833
2022-01-11,68371.25540364583
2022-01-12,68369.99557291667
2022-01-13,68367.15611979166
2022-01-14,68359.74609375
2022-01-17,68357.6333984375
2022-01-18,68342.65501302083
2022-01-19,68325.36315104166
2022-01-20,68313.36875
2022-01-21,68296.78248697917
2022-01-24,68271.1044921875
2022-01-25,68238.5564453125
2022-01-26,68209.78209635416
2022-01-27,68154.40247395834
2022-01-28,68098.40813802084
2022-02-03,68031.09283854166
2022-02-04,67975.14765625
2022-02-07,67916.11334635416
2022-02-08,67857.07903645834
2022-02-09,67807.85657552084
2022-02-10,67789.74680989583
2022-02-11,67779.1494140625
2022-02-14,67779.03444010417
2022-02-15,67780.42897135417
2022-02-16,67792.46692708334
2022-02-17,67812.06653645834
2022-02-18,67829.35266927084
2022-02-21,67842.1103515625
2022-02-22,67837.50885416666
2022-02-23,67832.15260416667
